"term","estimate","std.error","statistic","p.value","outcome","model_type"
"condition1",-0.261446554868172,0.325524347030624,-0.803155147235656,0.421885066343267,"You feel more restless than usual","linear"
"condition2",-0.469044221670745,0.346614035484075,-1.35321762436909,0.175986116431492,"You feel more restless than usual","linear"
"condition3",-0.834040165246192,0.329866441738233,-2.52841774644069,0.0114577930604978,"You feel more restless than usual","linear"
"condition4",-0.60182712971203,0.357490567575076,-1.68347694820127,0.0922827982041415,"You feel more restless than usual","linear"
"condition5",-0.74832530715582,0.341858586787232,-2.18899081690046,0.0285975074777373,"You feel more restless than usual","linear"
"condition6",-0.407576143732455,0.366347394922623,-1.11254003544515,0.265906026473596,"You feel more restless than usual","linear"
"condition7",-0.675239916019107,0.352419981051266,-1.91600917179801,0.0553639282594591,"You feel more restless than usual","linear"
"condition1",-0.351866425745157,0.486127461923707,-0.723815158174255,0.469179222041295,"You feel more restless than usual","ordinal"
"condition2",-0.750128338726432,0.519044145304762,-1.44521105865858,0.148398611104498,"You feel more restless than usual","ordinal"
"condition3",-1.10459578978546,0.494421136632657,-2.23411927189947,0.0254752262815851,"You feel more restless than usual","ordinal"
"condition4",-0.880681115957478,0.534966334192507,-1.64623651932565,0.0997150732876184,"You feel more restless than usual","ordinal"
"condition5",-1.22361830111544,0.551290181896838,-2.21955395052621,0.026449061128919,"You feel more restless than usual","ordinal"
"condition6",-0.724265719702643,0.571170224276632,-1.2680382991251,0.204784273785285,"You feel more restless than usual","ordinal"
"condition7",-1.00242679494703,0.542645418297454,-1.84729615536447,0.0647042298623053,"You feel more restless than usual","ordinal"
"condition1",0.415445812805323,0.348396841112413,1.19244999891166,0.233084845367357,"You woke up more than usual during last night","linear"
"condition2",-0.318660748555171,0.371383495717138,-0.858036913944817,0.390872080447709,"You woke up more than usual during last night","linear"
"condition3",-0.273705556031364,0.353328856347143,-0.774648181473326,0.438547578456215,"You woke up more than usual during last night","linear"
"condition4",-0.520995410630242,0.382434767851541,-1.3623118357076,0.173099493977719,"You woke up more than usual during last night","linear"
"condition5",-0.395541597532878,0.366568149562417,-1.07903973109788,0.28057001638747,"You woke up more than usual during last night","linear"
"condition6",0.0678857734884517,0.391957163973533,0.173196919786458,0.862496644708973,"You woke up more than usual during last night","linear"
"condition7",-0.513629989180803,0.378506622840289,-1.3569907583824,0.174784146983577,"You woke up more than usual during last night","linear"
"condition1",0.47994073762136,0.465688117618129,1.03060550498074,0.30272585350567,"You woke up more than usual during last night","ordinal"
"condition2",-0.514715099907209,0.508674729526571,-1.01187472077935,0.311597957530417,"You woke up more than usual during last night","ordinal"
"condition3",-0.345539401611803,0.487703194913202,-0.708503461153868,0.478632663567849,"You woke up more than usual during last night","ordinal"
"condition4",-0.628933187921824,0.508048331044619,-1.23793967914165,0.215738428168409,"You woke up more than usual during last night","ordinal"
"condition5",-0.652636795209923,0.511983849761996,-1.27472144973579,0.202407851948189,"You woke up more than usual during last night","ordinal"
"condition6",0.038736057560725,0.555455905735035,0.0697374123864352,0.944402663477651,"You woke up more than usual during last night","ordinal"
"condition7",-0.692471205776296,0.527964638010022,-1.31158633727123,0.1896597454111,"You woke up more than usual during last night","ordinal"
"condition1",0.36981973268213,0.262501292326109,1.4088301410063,0.15888540034382,"Waking up in the morning was more difficult than usual","linear"
"condition2",0.184551816732982,0.277267498440844,0.665609268200458,0.505660880800732,"Waking up in the morning was more difficult than usual","linear"
"condition3",-0.118915402741135,0.265450649991354,-0.447975556831403,0.654170837380351,"Waking up in the morning was more difficult than usual","linear"
"condition4",0.0288856113937256,0.289332041698628,0.0998355081039147,0.920474917473797,"Waking up in the morning was more difficult than usual","linear"
"condition5",-0.0710990158860302,0.275083958648488,-0.258462966126218,0.796049626870388,"Waking up in the morning was more difficult than usual","linear"
"condition6",0.123591481543414,0.294414037626399,0.419788005150242,0.674640328200892,"Waking up in the morning was more difficult than usual","linear"
"condition7",0.0490600903988754,0.280697843876841,0.174779006925329,0.861253284463615,"Waking up in the morning was more difficult than usual","linear"
"condition1",0.616051151085974,0.528185226596773,1.16635437733718,0.243471196200796,"Waking up in the morning was more difficult than usual","ordinal"
"condition2",0.267155498391993,0.549858420632343,0.485862339044952,0.627064771838729,"Waking up in the morning was more difficult than usual","ordinal"
"condition3",-0.399157270753382,0.544475656312486,-0.73310398017923,0.463495012751883,"Waking up in the morning was more difficult than usual","ordinal"
"condition4",0.0538336503421612,0.569254327515606,0.0945687151419774,0.924657400135451,"Waking up in the morning was more difficult than usual","ordinal"
"condition5",-0.109952824380655,0.566445309488487,-0.194110221302645,0.846089578404252,"Waking up in the morning was more difficult than usual","ordinal"
"condition6",0.304952070495657,0.599965365620135,0.508282790924861,0.611255036943939,"Waking up in the morning was more difficult than usual","ordinal"
"condition7",-0.0591559346586829,0.57492401880409,-0.102893482832278,0.918047510194182,"Waking up in the morning was more difficult than usual","ordinal"
"condition1",-0.0724234639950743,0.285626062369882,-0.253560418801303,0.799835178625713,"It took longer than usual to wake up","linear"
"condition2",-0.0653219143516298,0.304720890276564,-0.214366380632269,0.83026135664151,"It took longer than usual to wake up","linear"
"condition3",-0.16009236872157,0.290126351836954,-0.551802232744231,0.581083857396079,"It took longer than usual to wake up","linear"
"condition4",-0.132823662896709,0.314133631048942,-0.422825351278656,0.672422689852282,"It took longer than usual to wake up","linear"
"condition5",-0.239376870797803,0.30000892350924,-0.797899169123981,0.424929005601412,"It took longer than usual to wake up","linear"
"condition6",0.127029445483367,0.321258697495561,0.395411693048783,0.692539080904556,"It took longer than usual to wake up","linear"
"condition7",-0.214760756126462,0.310074334428123,-0.69261055263587,0.488553986105754,"It took longer than usual to wake up","linear"
"condition1",0.124904552902985,0.529584441423862,0.235853894361325,0.813546045955525,"It took longer than usual to wake up","ordinal"
"condition2",0.0456231198215189,0.545180030291029,0.0836845028919425,0.933307278821469,"It took longer than usual to wake up","ordinal"
"condition3",-0.19815803136094,0.535509685524186,-0.370036316274975,0.711355431446295,"It took longer than usual to wake up","ordinal"
"condition4",-0.0653940829790933,0.569595204166077,-0.114807994345448,0.908597312388892,"It took longer than usual to wake up","ordinal"
"condition5",-0.222765559321965,0.542277476810495,-0.410796259937258,0.681221935854659,"It took longer than usual to wake up","ordinal"
"condition6",0.399737711393007,0.583665202566492,0.684875009911985,0.493422796688208,"It took longer than usual to wake up","ordinal"
"condition7",-0.326141101807712,0.579290287372403,-0.563001156617094,0.57343409634972,"It took longer than usual to wake up","ordinal"
"condition1",0.141993502426662,0.296733064055841,0.478522684617111,0.632278232534329,"You felt more tired than usual when waking up","linear"
"condition2",-0.368161020344691,0.31363445888109,-1.17385386050413,0.2404535660805,"You felt more tired than usual when waking up","linear"
"condition3",-0.340553511314212,0.300060021482456,-1.13495129951567,0.256395724046507,"You felt more tired than usual when waking up","linear"
"condition4",-0.639584939979877,0.326700922668338,-1.95770778593477,0.0502643111161206,"You felt more tired than usual when waking up","linear"
"condition5",-0.581304286765966,0.310906770198334,-1.86970610641621,0.0615246410846795,"You felt more tired than usual when waking up","linear"
"condition6",-0.232270655789407,0.333089502244862,-0.697322053754368,0.485601269429086,"You felt more tired than usual when waking up","linear"
"condition7",-0.102812096554489,0.317961124719169,-0.323348008802319,0.746431699286577,"You felt more tired than usual when waking up","linear"
"condition1",0.203482731648538,0.511814968093614,0.397570888570261,0.690946522917563,"You felt more tired than usual when waking up","ordinal"
"condition2",-0.814612472983645,0.549607948795447,-1.48217010829082,0.138295038032872,"You felt more tired than usual when waking up","ordinal"
"condition3",-0.942391315739807,0.545723049377301,-1.7268673493178,0.0841914894910674,"You felt more tired than usual when waking up","ordinal"
"condition4",-1.18118443442938,0.586171082989626,-2.01508479129511,0.0438957655044069,"You felt more tired than usual when waking up","ordinal"
"condition5",-1.04129798148596,0.553000529036504,-1.88299635680316,0.0597008616888933,"You felt more tired than usual when waking up","ordinal"
"condition6",-0.664644653785716,0.582975452970595,-1.14009029093587,0.254248686450927,"You felt more tired than usual when waking up","ordinal"
"condition7",-0.53404038120822,0.573234364599652,-0.931626598452789,0.351529532152193,"You felt more tired than usual when waking up","ordinal"
