"term","estimate","std.error","statistic","p.value","outcome","model_type"
"condition1",0.279550768968698,0.233314622519179,1.19817080451406,0.230850528813431,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","linear"
"condition2",0.111767348401253,0.245320573002849,0.455597127599874,0.648679709058163,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","linear"
"condition3",-0.20499842634305,0.236816875945841,-0.865641122594375,0.38668699699529,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","linear"
"condition4",-0.12201121534555,0.257581327496344,-0.473680357700935,0.635727862384863,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","linear"
"condition5",0.0384250369487362,0.245814561526047,0.156317171408353,0.875783021890899,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","linear"
"condition6",0.262118747162775,0.26005569438968,1.00793311901105,0.313486570870695,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","linear"
"condition7",0.328047631089832,0.246794833937688,1.32923216363864,0.183771386784541,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","linear"
"condition1",0.112277981036539,NA,NA,NA,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","ordinal"
"condition2",-0.0100871102073402,NA,NA,NA,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","ordinal"
"condition3",-0.74890493920463,NA,NA,NA,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","ordinal"
"condition4",-0.473906724554228,NA,NA,NA,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","ordinal"
"condition5",-0.0269509143766328,NA,NA,NA,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","ordinal"
"condition6",0.483710235663814,NA,NA,NA,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","ordinal"
"condition7",0.60920597104699,NA,NA,NA,"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","ordinal"
"condition1",0.417659143385767,0.210903637635756,1.9803316247541,0.0476662774736905,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","linear"
"condition2",0.0744744689404385,0.221172618975857,0.336725537208419,0.736323810551664,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","linear"
