"variable","level","n","pct"
"Gender","Female",135,60.2678571428571
"Gender","Male",80,35.7142857142857
"Gender","Missing/Unknown",5,2.23214285714286
"Gender","Non-binary",4,1.78571428571429
"condition","0",39,17.4107142857143
"condition","1",33,14.7321428571429
"condition","3",30,13.3928571428571
"condition","5",27,12.0535714285714
"condition","2",25,11.1607142857143
"condition","4",24,10.7142857142857
"condition","7",23,10.2678571428571
"condition","6",22,9.82142857142857
"condition","Missing/Unknown",1,0.446428571428571
