"variable","n","mean","sd","median","p25","p75","min","max","model_set","sd_vs_median_sd","large_scale_flag"
"time_asleep",223,448.649551569507,81.9945135057417,457.8,398.516666666667,503.391666666667,242.916666666667,649.4,"A/B",52.4425547426817,"YES"
"rem_minutes",223,55.6681614349776,53.0587573307869,40,18,79.5,1,351,"B",33.9356460198232,"YES"
"total_induction_cues",223,34.3094170403587,37.3878894869617,19,1,60.5,0,145,"B",23.9127760785607,"YES"
"Age",219,48.5205479452055,20.0454366371403,45,26.5,71,19,76,"A",12.8207835285293,"YES"
"rem_episode_count",224,14.8705357142857,19.6134443612468,8.5,4,18,1,130,"B",12.5444872544454,"YES"
"You woke up more than usual during last night",224,2.05357142857143,1.67727777374563,2,1,4,0,5,"A",1.07276362414394,""
"baseline_LD_freq_ord",219,2.2648401826484,1.62356396591125,2,1,4,0,5,"A",1.03840901689824,""
"You felt more tired than usual when waking up",224,1.86607142857143,1.60992179134493,1,0,3,0,5,"A",1.0296836710682,""
"You feel more restless than usual",224,1.81696428571429,1.58396609516966,2,0,3,0,5,"A",1.01308276743016,""
"I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.",224,1.35267857142857,1.56351104380901,1,0,2.25,0,5,"C",1,""
"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.",224,1.3125,1.50949907053505,1,0,3,0,5,"C",0.965454690270446,""
"baseline_sleep_qual",219,6.46575342465753,1.44389437509973,7,5,8,4,9,"A",0.923494836072361,""
"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.",224,1.27232142857143,1.43372010211127,1,0,2,0,5,"C",0.916987512041138,""
"While dreaming, I was aware of the fact that other dream characters in my dream were not real.",224,1.17857142857143,1.41873616286039,1,0,2,0,5,"C",0.90740399211001,""
"Waking up in the morning was more difficult than usual",224,1.57142857142857,1.41557185968864,1,0,3,0,5,"A",0.905380147645156,""
"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",224,1.21428571428571,1.41376050659906,1,0,2,0,5,"C",0.904221631306718,""
"It took longer than usual to wake up",224,1.36607142857143,1.32580822774581,1,0,2,0,5,"A",0.847968572397088,""
"While dreaming, I often asked myself whether I was dreaming.",224,0.84375,1.01894883407235,1,0,1,0,4,"C",0.651705555970998,""
"rem_motion_avg",223,1.00343663980599,1.00548218735598,0.612214476422769,0.223576557453268,1.44169084465366,0.00524908822355765,5.97101891924648,"B",0.643092475321716,""
