StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_7,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,pid,condition,night_number,rem_minutes,rem_episode_count,arousal_threshold,arousal_reached_count,induction_highest_volume,wake_time,rem_motion_avg,app_version,train_cap_reached_count,total_trains_delivered,first_train_start_time,last_train_start_time,device_time_start,motion_80pct_cutoff_first_4h
Date de commencement,Date de fin,Type de réponse,Adresse IP,Progrès,Durée (en secondes),Terminé,Date enregistrée,Identifiant de la réponse,Nom du destinataire,Prénom du destinataire,Adresse e-mail du destinataire,Référence externe de données,Latitude de l'emplacement,Longitude de l'emplacement,Canal de distribution,Langue de l'utilisateur,"What do you remember from your dreams or other experiences during sleep? ( sequence of events, thoughts, sensations, feelings)","Were you at any point lucid, aware that you were dreaming while still asleep?","If so, describe when and how you realized you were dreaming","Did you notice any cues (sound, vibrations, light) while you were dreaming?

(Note that cues may not be played during sleep on some nights).","If so, describe how they appeared in your dream.","Describe how you became lucid. Was it the result of a cue, was it spontaneous, or was it something else that made you lucid?","Is there anything else you remember thinking, feeling, or experiencing during your sleep?","Indicate the degree to which you disagree or agree with the following statements in regards to the MOST lucid dream you had last night. If you did not have a lucid dream, answer it regarding the most vivid dream you remember from your sleep.
0=Strongly disagree, 5=strongly agree - While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","Indicate the degree to which you disagree or agree with the following statements in regards to the MOST lucid dream you had last night. If you did not have a lucid dream, answer it regarding the most vivid dream you remember from your sleep.
0=Strongly disagree, 5=strongly agree - While dreaming, I was aware that the self I experienced in my dream wasn’t the same as my waking self.","Indicate the degree to which you disagree or agree with the following statements in regards to the MOST lucid dream you had last night. If you did not have a lucid dream, answer it regarding the most vivid dream you remember from your sleep.
0=Strongly disagree, 5=strongly agree - While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","Indicate the degree to which you disagree or agree with the following statements in regards to the MOST lucid dream you had last night. If you did not have a lucid dream, answer it regarding the most vivid dream you remember from your sleep.
0=Strongly disagree, 5=strongly agree - I was very certain that the things I was experiencing in my dream wouldn’t have any consequences on the real world.","Indicate the degree to which you disagree or agree with the following statements in regards to the MOST lucid dream you had last night. If you did not have a lucid dream, answer it regarding the most vivid dream you remember from your sleep.
0=Strongly disagree, 5=strongly agree - While dreaming, I often asked myself whether I was dreaming.","Indicate the degree to which you disagree or agree with the following statements in regards to the MOST lucid dream you had last night. If you did not have a lucid dream, answer it regarding the most vivid dream you remember from your sleep.
0=Strongly disagree, 5=strongly agree - While dreaming, I was aware of the fact that other dream characters in my dream were not real.","Indicate the degree to which you disagree or agree with the following statements in regards to last night.

0=Strongly disagree, 5=strongly agree - You feel more restless than usual","Indicate the degree to which you disagree or agree with the following statements in regards to last night.

0=Strongly disagree, 5=strongly agree - You woke up more than usual during last night","Indicate the degree to which you disagree or agree with the following statements in regards to last night.

0=Strongly disagree, 5=strongly agree - Waking up in the morning was more difficult than usual","Indicate the degree to which you disagree or agree with the following statements in regards to last night.

0=Strongly disagree, 5=strongly agree - It took longer than usual to wake up","Indicate the degree to which you disagree or agree with the following statements in regards to last night.

0=Strongly disagree, 5=strongly agree - You felt more tired than usual when waking up",pid,condition,night_number,rem_minutes,rem_episode_count,arousal_threshold,arousal_reached_count,induction_highest_volume,wake_time,rem_motion_avg,app_version,train_cap_reached_count,total_trains_delivered,first_train_start_time,last_train_start_time,device_time_start,motion_80pct_cutoff_first_4h
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""pid""}","{""ImportId"":""condition""}","{""ImportId"":""night_number""}","{""ImportId"":""rem_minutes""}","{""ImportId"":""rem_episode_count""}","{""ImportId"":""arousal_threshold""}","{""ImportId"":""arousal_reached_count""}","{""ImportId"":""induction_highest_volume""}","{""ImportId"":""wake_time""}","{""ImportId"":""rem_motion_avg""}","{""ImportId"":""app_version""}","{""ImportId"":""train_cap_reached_count""}","{""ImportId"":""total_trains_delivered""}","{""ImportId"":""first_train_start_time""}","{""ImportId"":""last_train_start_time""}","{""ImportId"":""device_time_start""}","{""ImportId"":""motion_80pct_cutoff_first_4h""}"
2026-05-31 22:46:39,2026-05-31 22:49:07,Adresse IP,108.252.114.227,100,148,Vrai,2026-05-31 22:49:08,R_6BkPYC4JAgUONQl,,,,,29.6915,-95.0474,anonymous,EN,N/A,No,,No,,,No,0,0,0,0,0,0,3,3,0,0,0,429282923166,1,2,0,0,,0,,2026-06-01T04:46:36.837Z,,luci2026,0,0,,,2026-06-01T02:55:59.389Z,2.1076118326110973
2026-06-01 05:01:16,2026-06-01 05:03:40,Adresse IP,67.220.73.184,100,144,Vrai,2026-06-01 05:03:41,R_7j4J9rIxMHyZksx,,,,,41.871,-87.6289,anonymous,EN,Nothing from my dream is clear,No,,No,,,,0,2,0,0,0,0,0,0,0,0,0,269962413216,3,1,48,10,,4,0.075,2026-06-01T10:36:14.296Z,1.8022795979762403,luci2026,1,5,2026-06-01T07:45:55.882Z,2026-06-01T09:48:11.874Z,2026-06-01T03:30:49.045Z,1.757824885838631
2026-06-01 23:50:52,2026-06-01 23:53:13,Adresse IP,188.61.25.0,100,140,Vrai,2026-06-01 23:53:13,R_8D1zDEJ1ixo6odz,,,,,47.3779,8.5236,anonymous,EN,Nothing,No,,No,,,,0,0,0,0,0,0,5,5,5,0,5,379882713876,0,2,24,16,,0,,2026-06-02T05:50:42.625Z,1.4390595035992877,luci2026,0,0,,,2026-06-01T21:56:19.572Z,1.409273363667311
2026-06-02 04:31:54,2026-06-02 04:36:54,Adresse IP,18.29.51.236,100,300,Vrai,2026-06-02 04:36:55,R_77rBp487kucLUvD,,,,,42.3649,-71.0987,anonymous,EN,"I remember one thought -- I was dreaming that I accidentally bit my brother's ear while we were bantering, which I felt very bad about. In that same dream, we just talked a bit about volunteer positions and stuff that I'm thinking about recently.",No,,No,,,Nothing that comes to mind,1,1,1,1,1,1,1,1,1,1,1,109742463786,2,1,12,3,,0,0,2026-06-02T10:31:52.577Z,0.13921904259560813,luci2026,0,3,2026-06-02T10:09:50.717Z,2026-06-02T10:28:08.710Z,2026-06-02T03:39:00.696Z,0.007449311531218117
2026-06-02 04:56:37,2026-06-02 04:57:22,Adresse IP,67.220.73.184,100,44,Vrai,2026-06-02 04:57:23,R_3Myacrek8Onju3D,,,,,41.871,-87.6289,anonymous,EN,Nothing,No,,No,,,,0,0,0,0,0,0,0,0,1,0,1,269962413216,5,2,57,87,0.05,3,1,2026-06-02T10:56:32.881Z,1.7214619535252034,luci2026,1,5,2026-06-02T08:30:29.318Z,2026-06-02T09:19:20.951Z,2026-06-02T03:36:44.456Z,1.720421185723729
2026-06-02 08:14:09,2026-06-02 08:16:00,Adresse IP,172.56.195.40,100,110,Vrai,2026-06-02 08:16:00,R_3X5sgOR5rRlHSGA,,,,,42.4125,-71.0034,anonymous,EN,I became rich from a startup idea i had,No,,No,,,No,1,1,1,1,3,1,0,0,0,0,0,159532853506,4,1,38,19,0.01,4,0.02,2026-06-02T11:10:10.917Z,1.5856102479323193,luci2026,1,5,2026-06-02T08:45:03.485Z,2026-06-02T10:31:59.857Z,2026-06-02T04:18:33.756Z,1.596047122105312
2026-06-03 04:55:25,2026-06-03 04:56:33,Adresse IP,18.29.124.129,100,67,Vrai,2026-06-03 04:56:33,R_11JFIWWVj1HMIr7,,,,,42.3649,-71.0987,anonymous,EN,N/A,No,,No,,,N/A,1,1,1,1,1,1,1,1,1,1,1,109742463786,4,2,0,0,,0,,2026-06-03T10:55:23.529Z,,luci2026,0,0,,,2026-06-03T04:00:31.785Z,0.023331613019916236
2026-06-03 04:56:12,2026-06-03 04:58:36,Adresse IP,67.220.73.184,100,144,Vrai,2026-06-03 04:58:36,R_5PufInkKIolcLCh,,,,,41.871,-87.6289,anonymous,EN,nothing,No,,No,,,nothing,1,1,0,0,0,1,0,5,2,1,1,269962413216,6,3,37,11,0.005,3,0.01,2026-06-03T10:56:09.555Z,2.7217825513962426,luci2026,1,5,2026-06-03T07:30:58.985Z,2026-06-03T10:45:38.149Z,2026-06-03T03:28:06.205Z,1.748644696096278
