"What do you remember from your dreams or other experiences during sleep? ( sequence of events, thoughts, sensations, feelings)",lucid_state,"If so, describe when and how you realized you were dreaming",cue_notice,"If so, describe how they appeared in your dream.","Describe how you became lucid. Was it the result of a cue, was it spontaneous, or was it something else that made you lucid?","Is there anything else you remember thinking, feeling, or experiencing during your sleep?","While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.,"While dreaming, I often asked myself whether I was dreaming.","While dreaming, I was aware of the fact that other dream characters in my dream were not real.",You feel more restless than usual,You woke up more than usual during last night,Waking up in the morning was more difficult than usual,It took longer than usual to wake up,You felt more tired than usual when waking up,pid,condition,night_number,rem_minutes,rem_episode_count,induction_highest_volume,rem_motion_avg,train_cap_reached_count,total_trains_delivered,device_time_start,motion_80pct_cutoff_first_4h
Nothing from my dream is clear,0,,0,,,,0,2,0,0,0,0,0,0,0,0,0,269962413216,3,1,48,10,0.075,1.8022795979762403,1,5,2026-06-01T03:30:49.045Z,1.757824885838631
Nothing,0,,0,,,,0,0,0,0,0,0,5,5,5,0,5,379882713876,0,2,24,16,,1.4390595035992877,0,0,2026-06-01T21:56:19.572Z,1.409273363667311
"I remember one thought -- I was dreaming that I accidentally bit my brother's ear while we were bantering, which I felt very bad about. In that same dream, we just talked a bit about volunteer positions and stuff that I'm thinking about recently.",0,,0,,,Nothing that comes to mind,1,1,1,1,1,1,1,1,1,1,1,109742463786,2,1,12,3,0,0.13921904259560813,0,3,2026-06-02T03:39:00.696Z,0.007449311531218117
Nothing,0,,0,,,,0,0,0,0,0,0,0,0,1,0,1,269962413216,5,2,57,87,1,1.7214619535252034,1,5,2026-06-02T03:36:44.456Z,1.720421185723729
I became rich from a startup idea i had,0,,0,,,No,1,1,1,1,3,1,0,0,0,0,0,159532853506,4,1,38,19,0.02,1.5856102479323193,1,5,2026-06-02T04:18:33.756Z,1.596047122105312
nothing,0,,0,,,nothing,1,1,0,0,0,1,0,5,2,1,1,269962413216,6,3,37,11,0.01,2.7217825513962426,1,5,2026-06-03T03:28:06.205Z,1.748644696096278
I remeber waking up because of a long sequence of sounds. I also remeber some dreams,0,,0,,,,0,1,0,0,0,0,2,4,3,0,2,379882713876,1,4,28,14,0.05,1.482651869818621,1,5,2026-06-03T21:17:04.213Z,1.4140197763228708
i remember really wanting a peanut butter and jelly sandwich,0,,0,,,,0,0,0,0,0,0,0,2,1,1,1,269962413216,4,4,41,25,0.035,2.0855021308188246,1,5,2026-06-04T03:55:01.361Z,1.8890901214646048
Events,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,429282923166,3,5,72,18,0.01,2.1264803717616,1,5,2026-06-04T02:24:40.090Z,1.9203260199841934
I domt remember my dreams,0,,0,,,,0,0,0,0,0,1,4,0,3,4,5,379882713876,7,6,66,28,0.07,1.4538122177482267,1,5,2026-06-04T22:59:08.583Z,1.4152749467772656
