"What do you remember from your dreams or other experiences during sleep? ( sequence of events, thoughts, sensations, feelings)",lucid_state,"If so, describe when and how you realized you were dreaming",cue_notice,"If so, describe how they appeared in your dream.","Describe how you became lucid. Was it the result of a cue, was it spontaneous, or was it something else that made you lucid?","Is there anything else you remember thinking, feeling, or experiencing during your sleep?","While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.","While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.,"While dreaming, I often asked myself whether I was dreaming.","While dreaming, I was aware of the fact that other dream characters in my dream were not real.",You feel more restless than usual,You woke up more than usual during last night,Waking up in the morning was more difficult than usual,It took longer than usual to wake up,You felt more tired than usual when waking up,pid,Age,Gender,baseline_LD_freq,baseline_LD_freq_ord,baseline_sleep_qual,rem_episode_count,train_cap_reached_count,device_time_start,motion_80pct_cutoff_first_4h,condition,device_time_end,rem_minutes,rem_motion_avg,induction_arousal_any,induction_arousal_volume,induction_arousal_count,induction_highest_volume,total_trains_delivered,disruptive_arousal_any,disruptive_arousal_count,disruptive_arousal_volume,total_induction_cues,mean_train_duration_sec
Nothing from my dream is clear,0,,0,,,,0,2,0,0,0,0,0,0,0,0,0,269962413216,19.0,Male,Less than once per year,1.0,8.0,10,1,2026-06-01T03:30:49.045Z,1.757824885838631,3.0,2026-06-01T10:36:14.296Z,48.0,1.80227959797624,1.0,,4.0,0.075,5.0,0.0,0.0,,31.0,
Nothing,0,,0,,,,0,0,0,0,0,0,5,5,5,0,5,379882713876,24.0,Male,Never,0.0,9.0,16,0,2026-06-01T21:56:19.572Z,1.409273363667311,0.0,2026-06-02T05:50:42.625Z,24.0,1.439059503599288,0.0,,0.0,,0.0,0.0,0.0,,0.0,
"I remember one thought -- I was dreaming that I accidentally bit my brother's ear while we were bantering, which I felt very bad about. In that same dream, we just talked a bit about volunteer positions and stuff that I'm thinking about recently.",0,,0,,,Nothing that comes to mind,1,1,1,1,1,1,1,1,1,1,1,109742463786,22.0,Male,Never,0.0,7.0,3,0,2026-06-02T03:39:00.696Z,0.0074493115312181,2.0,2026-06-02T10:31:52.577Z,12.0,0.1392190425956081,0.0,,0.0,0.0,3.0,0.0,0.0,,3.0,121.0
Nothing,0,,0,,,,0,0,0,0,0,0,0,0,1,0,1,269962413216,19.0,Male,Less than once per year,1.0,8.0,87,1,2026-06-02T03:36:44.456Z,1.720421185723729,5.0,2026-06-02T10:56:32.839Z,57.0,1.721461953525203,1.0,0.05,3.0,1.0,5.0,0.0,0.0,,64.0,180.2
I became rich from a startup idea i had,0,,0,,,No,1,1,1,1,3,1,0,0,0,0,0,159532853506,24.0,Female,A few times per year,2.0,8.0,19,1,2026-06-02T04:18:33.756Z,1.596047122105312,4.0,2026-06-02T11:10:10.917Z,38.0,1.585610247932319,1.0,0.01,4.0,0.02,5.0,0.0,0.0,,15.0,131.2
nothing,0,,0,,,nothing,1,1,0,0,0,1,0,5,2,1,1,269962413216,19.0,Male,Less than once per year,1.0,8.0,11,1,2026-06-03T03:28:06.205Z,1.748644696096278,6.0,2026-06-03T10:56:09.555Z,37.0,2.721782551396243,1.0,0.005,3.0,0.01,5.0,1.0,1.0,0.0,10.0,125.4
I remeber waking up because of a long sequence of sounds. I also remeber some dreams,0,,0,,,,0,1,0,0,0,0,2,4,3,0,2,379882713876,24.0,Male,Never,0.0,9.0,14,1,2026-06-03T21:17:04.213Z,1.4140197763228708,1.0,2026-06-04T05:50:27.821Z,28.0,1.482651869818621,1.0,0.01,1.0,0.05,5.0,1.0,5.0,0.025,16.0,127.4
i remember really wanting a peanut butter and jelly sandwich,0,,0,,,,0,0,0,0,0,0,0,2,1,1,1,269962413216,19.0,Male,Less than once per year,1.0,8.0,25,1,2026-06-04T03:55:01.361Z,1.8890901214646048,4.0,2026-06-04T11:01:00.337Z,41.0,2.085502130818825,1.0,0.02,2.0,0.035,5.0,0.0,0.0,,19.0,135.2
Events,0,,0,,,No,0,0,0,0,0,0,0,0,0,0,0,429282923166,22.0,Female,Less than once per year,1.0,8.0,18,1,2026-06-04T02:24:40.090Z,1.9203260199841936,3.0,2026-06-04T12:00:20.939Z,72.0,2.1264803717616,1.0,,2.0,0.01,5.0,0.0,0.0,,7.0,
I domt remember my dreams,0,,0,,,,0,0,0,0,0,1,4,0,3,4,5,379882713876,24.0,Male,Never,0.0,9.0,28,1,2026-06-04T22:59:08.583Z,1.4152749467772656,7.0,2026-06-05T06:58:26.092Z,66.0,1.453812217748227,1.0,0.07,2.0,0.07,5.0,0.0,0.0,,34.0,149.8
