Age,Gender,baseline_LD_freq,baseline_LD_freq_ord,baseline_sleep_qual,PID
32,Female,A few times per year,2,7,169192783176
28,Female,Less than once per year,1,7,419112993296
19,Male,A few times per year,2,7,829182423846
19,Male,Less than once per year,1,4,289492683306
22,Female,Several times per week,5,6,989102553716
24,Male,Never,0,9,379882713876
22,Female,Less than once per year,1,8,429282923166
21,Female,A few times per year,2,6,849952193866
24,Female,A few times per year,2,8,159532853506
19,Male,Never,0,7,499932963996
22,Male,Never,0,7,109742463786
21,Non-binary,A few times per year,2,3,459282513106
20,Male,Less than once per year,1,9,859262393226
29,Female,A few times per year,2,6,199852823356
25,Female,Less than once per year,1,7,379502533246
18,Female,Never,0,1,649872143106
18,Male,Never,0,2,649682923366
80,Male,Never,0,6,959362913886
55,Female,Never,0,10,769932513826
19,Male,Less than once per year,1,8,269962413216
24,Male,A few times per year,2,3,609342333626
23,Male,Less than once per year,1,8,829672933986
21,Male,Less than once per year,1,5,669392133326
28,Female,A few times per year,2,8,309772723476
22,Male,A few times per year,2,2,459232103716
48,Male,Several times per week,5,6,739132193926
,,,,,249262943726
30,Male,A few times per year,2,4,649352693886
43,Male,Monthly,3,6,509552413886
46,Male,A few times per year,2,8,389572853786
46,Male,Never,0,6,469412693116
19,Male,Never,0,9,809312773786
48,Male,A few times per year,2,6,929882413656
29,Male,Monthly,3,4,709742353886
30,Female,Monthly,3,6,979702463996
49,Female,Several times per week,5,7,699412113626
32,Female,Monthly,3,7,109422813536
42,Female,Weekly,4,5,529762983996
56,Male,A few times per year,2,5,389242743596
48,Female,Daily (including multiple times per night),6,6,659282493816
19,Female,Never,0,8,719602313796
73,Male,Several times per week,5,8,379172703886
59,Female,Less than once per year,1,4,239562183616
43,Female,A few times per year,2,6,729662303896
33,Female,Monthly,3,9,179392403906
25,Female,Never,0,7,299132393916
56,Female,A few times per year,2,5,559322983606
26,Female,Less than once per year,1,5,609342143396
59,Female,Less than once per year,1,4,269592263106
52,Male,A few times per year,2,8,499972373656
32,Female,A few times per year,2,8,789112963476
31,Female,Monthly,3,7,449792913606
28,Female,A few times per year,2,8,839352863116
44,Male,Less than once per year,1,7,909232733626
44,Female,A few times per year,2,8,599332113746
53,Female,Monthly,3,7,599612483876
24,Female,Never,0,7,309392453856
63,Female,Several times per week,5,5,239392803326
70,Female,Less than once per year,1,7,539622963906
74,Female,A few times per year,2,5,989992943266
31,Female,A few times per year,2,5,379352723816
58,Female,A few times per year,2,7,209292913936
23,Female,Never,0,6,399542253216
22,Female,Never,0,8,579402583286
60,Male,Never,0,8,809852543926
24,Male,Several times per week,5,7,769612913996
33,Male,A few times per year,2,7,629622403526
24,Female,Never,0,5,279502623396
41,Female,A few times per year,2,8,339282513966
41,Female,A few times per year,2,8,369762933456
31,Female,Never,0,7,909882443756
41,Female,A few times per year,2,8,489882983556
34,Female,Less than once per year,1,3,479582473396
41,Female,Less than once per year,1,8,959192413126
37,Male,Less than once per year,1,7,609382353906
52,Female,A few times per year,2,4,579512133256
34,Female,Less than once per year,1,4,789512463256
47,Female,Several times per week,5,7,559112503106
22,Male,A few times per year,2,7,209652743806
45,Female,A few times per year,2,6,489412463416
22,Male,A few times per year,2,7,859972693426
76,Female,Never,0,6,559152833836
60,Female,Monthly,3,8,239922773336
22,Female,Never,0,6,709392473866
49,Female,Less than once per year,1,8,959502373626
26,Female,A few times per year,2,5,449812213866
42,Female,Weekly,4,5,119252313396
18,Male,Never,0,6,629572493886
57,Male,Monthly,3,7,579392573146
21,Female,Monthly,3,4,539362833586
42,Male,Monthly,3,4,829922833876
42,Female,Never,0,7,779842573106
48,Male,Less than once per year,1,7,909252343686
53,Male,Less than once per year,1,2,209852903916
43,Female,Several times per week,5,8,999662853126
49,Female,Less than once per year,1,4,849612183766
53,Male,Less than once per year,1,7,879912263286
30,Female,Never,0,7,109522613356
52,Female,Monthly,3,9,579862293176
42,Female,A few times per year,2,4,299542783686
53,Male,Less than once per year,1,7,579172963136
41,Male,A few times per year,2,5,989382443916
44,Female,Less than once per year,1,8,769362533216
76,Male,Weekly,4,8,679992903946
21,Male,Never,0,4,489732893676
21,Male,Never,0,7,329352413406
40,Female,A few times per year,2,6,719202523406
50,Female,A few times per year,2,6,839132943356
28,Female,Monthly,3,7,349712383386
38,Male,Monthly,3,5,639882503356
19,Female,Less than once per year,1,5,449532583116
53,Female,Less than once per year,1,7,759472703156
31,Female,Never,0,6,689112703226
45,Male,Weekly,4,6,679172583626
56,Male,Weekly,4,7,159902163406
45,Female,Weekly,4,5,729722103646
40,Male,Less than once per year,1,4,249412953566
46,Female,A few times per year,2,6,239172853106
78,Female,Less than once per year,1,8,529362723196
,,,,,619642963626
48,Male,A few times per year,2,6,809882793276
67,Male,Weekly,4,6,969402133756
25,Female,Less than once per year,1,7,839602763696
76,Male,Weekly,4,6,789692593396
57,Female,A few times per year,2,8,229852143426
57,Female,A few times per year,2,9,179952363796
45,Female,Monthly,3,7,419602113256
24,Male,A few times per year,2,8,189282363536
37,Female,A few times per year,2,6,789542493476
66,Female,Less than once per year,1,9,139882423246
42,Female,Weekly,4,7,169752923276
66,Male,Monthly,3,5,279572633926
76,Male,Weekly,4,6,849472733126
37,Female,A few times per year,2,8,959792313886
36,Female,Less than once per year,1,4,239292463446
57,Female,Monthly,3,6,749792733206
62,Female,Less than once per year,1,8,629922263296
38,Female,Never,0,8,449582833316
24,Female,Less than once per year,1,4,839812403536
56,Female,Weekly,4,8,869982873836
26,Female,A few times per year,2,5,469312283336
64,Male,Weekly,4,7,499872833196
33,Female,Monthly,3,8,139592793116
56,Female,A few times per year,2,6,229582903536
,,,,,879312573236
33,Male,Less than once per year,1,7,469522453716
42,Male,A few times per year,2,7,929272753896
71,Female,A few times per year,2,8,139662433656
41,Female,Less than once per year,1,7,769492153716
48,Female,Monthly,3,8,839412743156
40,Female,A few times per year,2,6,599392853296
57,Female,A few times per year,2,9,529852523606
65,Female,A few times per year,2,8,649782913996
57,Female,Weekly,4,4,839792973696
48,Female,A few times per year,2,3,559622943316
34,Female,Monthly,3,5,649512743796
26,Male,Never,0,3,259272303886
51,Male,A few times per year,2,8,659872203176
41,Female,Weekly,4,5,599562123966
47,Non-binary,Less than once per year,1,8,189762763386
25,Non-binary,A few times per year,2,6,869822633666
51,Female,A few times per year,2,4,259782593846
67,Male,A few times per year,2,4,979412933886
30,Male,Less than once per year,1,6,999342283466
50,Female,A few times per year,2,8,559882943976
71,Male,Less than once per year,1,8,639752983556
23,Male,Less than once per year,1,5,709992693866
56,Male,A few times per year,2,5,889112933306
31,Male,Monthly,3,2,869342773536
22,Female,Never,0,3,259822373756
72,Male,A few times per year,2,8,189682573926
,,,,,869332393776
48,Male,A few times per year,2,5,639322453476
19,Female,Never,0,9,299492193356
50,Female,A few times per year,2,10,199992373986
56,Male,Less than once per year,1,5,769802973746
60,Male,A few times per year,2,7,429952943496
68,Male,A few times per year,2,6,689482503446
74,Female,A few times per year,2,5,889432873656
33,Female,Monthly,3,8,539412483836
22,Female,A few times per year,2,6,809282193516
45,Female,Never,0,6,389132113316
45,Female,A few times per year,2,7,989422303806
40,Female,A few times per year,2,6,519712933526
53,Female,Less than once per year,1,7,179142343526
36,Female,Several times per week,5,7,169142963656
37,Female,A few times per year,2,7,239562233606
64,Male,Monthly,3,5,359242963946
50,Female,Monthly,3,6,299342693996
52,Female,A few times per year,2,3,769772243286
60,Female,Monthly,3,8,439752783216
64,Female,Monthly,3,5,349462673936
49,Female,Less than once per year,1,8,269832563256
57,Male,Monthly,3,7,729512183566
43,Non-binary,Never,0,2,579462983526
64,Female,A few times per year,2,7,999252563296
57,Female,A few times per year,2,5,929192283546
31,Female,A few times per year,2,3,569812923436
71,Female,Weekly,4,5,579562183996
39,Female,Less than once per year,1,7,589702833326
49,Female,Monthly,3,5,669362823256
49,Female,Monthly,3,5,529602933826
32,Female,Never,0,7,759552453256
36,Female,A few times per year,2,7,459212683806
21,Female,A few times per year,2,7,689222633176
53,Female,A few times per year,2,7,439442713976
37,Male,Less than once per year,1,7,389482323236
31,Male,Never,0,7,109362583776
36,Male,A few times per year,2,7,339892283166
72,Male,A few times per year,2,7,869982223106
20,Male,Less than once per year,1,6,729422983146
40,Female,A few times per year,2,6,379282433176
44,Male,Monthly,3,8,319752343866
42,Male,Weekly,4,7,939692833756
89,Male,Less than once per year,1,7,229812553586
89,Male,A few times per year,2,7,659392883236
69,Male,Less than once per year,1,9,219962573646
55,Male,A few times per year,2,7,909452723546
44,Male,Never,0,4,899242283356
68,Female,A few times per year,2,6,199302983846
60,Female,Less than once per year,1,7,299522183446
46,Female,Never,0,6,849692143376
58,Male,Monthly,3,6,999102773206
41,Female,Several times per week,5,5,509932613236
24,Male,Never,0,7,989232823696
67,Female,Weekly,4,8,899352433976
36,Female,Less than once per year,1,4,769762353206
44,Female,Less than once per year,1,8,329182283526
67,Male,Weekly,4,5,739962763826
29,Male,Never,0,8,549902793586
24,Male,Weekly,4,6,609722783676
,,,,,239442313176
41,Female,A few times per year,2,7,119112613586
38,Non-binary,Monthly,3,5,849372573176
65,Female,A few times per year,2,8,919812563746
65,Female,A few times per year,2,9,749182913636
73,Male,Never,0,7,739282883846
29,Male,Less than once per year,1,4,189452733246
24,Male,Never,0,7,679462883636
41,Female,Weekly,4,8,349262643676
23,Male,Monthly,3,4,359592283456
45,Male,Less than once per year,1,7,749312983176
38,Female,Never,0,2,819412983246
47,Female,Daily (including multiple times per night),6,5,439612553576
42,Male,Less than once per year,1,6,149342883826
70,Female,Never,0,5,179122473836
37,Male,A few times per year,2,8,359852143976
20,Male,A few times per year,2,6,269762463116
34,Male,A few times per year,2,7,779922573816
45,Male,Never,0,8,969522133156
31,Male,A few times per year,2,7,489232283756
46,Male,Less than once per year,1,5,659262163686
64,Male,Weekly,4,7,129172393886
42,Male,Never,0,10,519882343906
36,Male,Never,0,5,399992583976
20,Female,Monthly,3,8,629182453426
45,Female,A few times per year,2,5,539822283526
32,Female,Monthly,3,8,519692863646
55,Male,Less than once per year,1,6,629552623176
30,Female,Less than once per year,1,8,169682403356
34,Male,Daily (including multiple times per night),6,7,689242493936
31,Non-binary,A few times per year,2,3,369582543516
60,Male,A few times per year,2,6,809172613146
24,Male,Never,0,7,779482733116
36,Female,Weekly,4,6,689312933166
42,Male,A few times per year,2,8,819682193876
55,Female,A few times per year,2,6,559472613156
36,Female,Less than once per year,1,6,929262723346
36,Female,Never,0,5,419662753906
22,Male,Monthly,3,7,789652803586
