pid,episode_index,train_index,cue_index,cue_type,took_place,epoch_sec,event_time_boston,volume,arousal_detected
Sole,0,0,,disruptive,True,15003,04:21:52,,
Sole,0,0,0,induction,True,15122,04:23:38,0.01,False
Sole,0,0,1,induction,True,15127,04:23:43,0.02,True
Sole,1,0,,disruptive,True,15980,04:38:10,,
Sole,1,0,0,induction,True,16099,04:39:55,0.01,False
Sole,1,0,1,induction,True,16104,04:40:00,0.02,True
Sole,2,0,,disruptive,True,16699,04:50:09,,
Sole,2,0,0,induction,True,16818,04:51:54,0.01,False
Sole,2,0,1,induction,True,16823,04:51:59,0.02,False
Sole,2,0,2,induction,True,16828,04:52:04,0.03,False
Sole,2,0,3,induction,True,16833,04:52:09,0.05,False
Sole,2,0,4,induction,True,16838,04:52:14,0.06,False
Sole,2,0,5,induction,True,16843,04:52:19,0.08,False
Sole,2,0,6,induction,True,16848,04:52:24,0.25,False
Sole,2,0,7,induction,True,16853,04:52:29,0.5,False
Sole,3,0,,disruptive,False,16859,04:52:50,,
Sole,4,0,,disruptive,False,16865,04:52:56,,
Solene,0,0,,disruptive,False,14430,03:13:37,,
Solene,0,0,0,induction,True,14549,03:15:23,0.1,False
Solene,0,0,1,induction,True,14554,03:15:28,0.2,False
Solene,0,0,2,induction,True,14559,03:15:33,0.3,False
Solene,0,0,3,induction,True,14564,03:15:38,0.4,False
Solene,0,0,4,induction,True,14569,03:15:43,0.5,False
Solene,0,0,5,induction,True,14574,03:15:48,0.6,False
Solene,0,0,6,induction,True,14579,03:15:53,0.7,False
Solene,0,0,7,induction,True,14584,03:15:58,0.8,False
Solene,0,0,8,induction,True,14589,03:16:03,0.9,True
Solene,0,1,,disruptive,False,14890,03:21:18,,
Solene,0,1,0,induction,True,15010,03:23:04,0.1,False
Solene,0,1,1,induction,True,15015,03:23:09,0.2,False
Solene,0,1,2,induction,True,15020,03:23:14,0.3,False
Solene,0,1,3,induction,True,15025,03:23:19,0.4,False
Solene,0,1,4,induction,True,15030,03:23:24,0.5,False
Solene,0,1,5,induction,True,15035,03:23:29,0.6,False
Solene,0,1,6,induction,True,15040,03:23:34,0.7,False
Solene,0,1,7,induction,True,15045,03:23:39,0.8,False
Solene,0,2,,disruptive,False,15050,03:23:57,,
Solene,0,2,0,induction,True,15169,03:25:43,0.1,False
Solene,0,2,1,induction,True,15174,03:25:48,0.2,False
Solene,0,2,2,induction,True,15179,03:25:53,0.3,False
Solene,0,2,3,induction,True,15184,03:25:58,0.4,True
