pid,session_start_boston,session_end_boston,episode_index,episode_start_epoch_sec,episode_duration_sec,episode_start_boston,episode_end_boston,episode_motion_avg
Soso,23:56:38,09:15:11,0,14406,212,03:56:44,04:00:16,
Soso,23:56:38,09:15:11,1,14618,222,04:00:16,04:03:58,
Soso,23:56:38,09:15:11,2,15677,13,04:17:55,04:18:08,
Soso,23:56:38,09:15:11,3,15988,163,04:23:06,04:25:49,
Soso,23:56:38,09:15:11,4,16479,360,04:31:17,04:37:17,
Soso,23:56:38,09:15:11,5,16843,25,04:37:21,04:37:46,
Soso,23:56:38,09:15:11,6,16883,43,04:38:01,04:38:44,
Soso,23:56:38,09:15:11,7,18876,28,05:11:14,05:11:42,
Soso,23:56:38,09:15:11,8,18907,48,05:11:45,05:12:33,
Soso,23:56:38,09:15:11,9,19454,862,05:20:52,05:35:14,
Soso,23:56:38,09:15:11,10,20440,201,05:37:18,05:40:39,
Soso,23:56:38,09:15:11,11,20762,217,05:42:40,05:46:17,
Soso,23:56:38,09:15:11,12,23005,55,06:20:03,06:20:58,
Soso,23:56:38,09:15:11,13,23176,53,06:22:54,06:23:47,
Soso,23:56:38,09:15:11,14,23637,110,06:30:35,06:32:25,
Soso,23:56:38,09:15:11,15,23907,47,06:35:05,06:35:52,
Soso,23:56:38,09:15:11,16,24064,127,06:37:42,06:39:49,
Soso,23:56:38,09:15:11,17,24359,127,06:42:37,06:44:44,
Soso,23:56:38,09:15:11,18,24660,29,06:47:38,06:48:07,
Soso,23:56:38,09:15:11,19,25392,164,06:59:50,07:02:34,
Soso,23:56:38,09:15:11,20,25562,74,07:02:40,07:03:54,
Soso,23:56:38,09:15:11,21,25646,58,07:04:04,07:05:02,
Soso,23:56:38,09:15:11,22,25706,12,07:05:04,07:05:16,
Soso,23:56:38,09:15:11,23,25736,54,07:05:34,07:06:28,
Soso,23:56:38,09:15:11,24,31466,92,08:41:04,08:42:36,
Soso,23:56:38,09:15:11,25,31910,33,08:48:28,08:49:01,
