pid,session_start_boston,session_end_boston,episode_index,episode_start_epoch_sec,episode_duration_sec,episode_start_boston,episode_end_boston,episode_motion_avg
Soso,00:38:41,09:30:34,0,16628,249,05:15:49,05:19:58,1.4653191684361269
Soso,00:38:41,09:30:34,1,21967,249,06:44:48,06:48:57,1.449132029729779
Soso,00:38:41,09:30:34,2,22860,49,06:59:41,07:00:30,1.4461570919144338
Soso,00:38:41,09:30:34,3,22975,98,07:01:36,07:03:14,1.4769795911353216
Soso,00:38:41,09:30:34,4,23137,39,07:04:18,07:04:57,1.4396770129071628
Soso,00:38:41,09:30:34,5,23196,38,07:05:17,07:05:55,1.4894074782106475
Soso,00:38:41,09:30:34,6,23245,81,07:06:06,07:07:27,1.8974446311703483
Soso,00:38:41,09:30:34,7,29571,87,08:51:32,08:52:59,1.4933698739646346
Soso,00:38:41,09:30:34,8,30686,331,09:10:07,09:15:38,1.4681730674767584
Soso,00:38:41,09:30:34,9,31371,31,09:21:32,09:22:03,1.4528602064989131
Soso,00:38:41,09:30:34,10,31410,27,09:22:11,09:22:38,1.443217389701453
Soso,00:38:41,09:30:34,11,31477,23,09:23:18,09:23:41,1.727095946869819
